"index"	"x_prescribed"	"y_prescribed"	"z_prescribed"	"x_match"	"y_match"	"z_match"	"u"	"v"
3574	+1.118596503100000e-01	-1.035633702400000e-03	+7.758175699500000e-04	+1.118400363119387e-01	-1.107804715791559e-03	+7.752988310113442e-04	0.205262627028908	0.476780469668594
48241	+1.118596503100000e-01	-1.035633702400000e-03	+2.449488227400000e-04	+1.118388909508929e-01	-1.104253137770928e-03	+2.442609657997819e-04	0.206731087397781	0.006379187242025
3579	+1.118905192600000e-01	-1.042546926100000e-03	+1.305284003700000e-03	+1.118861895979529e-01	-1.118570074893272e-03	+1.304949417404167e-03	0.189039759396227	0.946263309105870
47006	+1.121571924900000e-01	-7.269518036100000e-04	+2.385404740400000e-04	+1.121634938207889e-01	-7.251746629892119e-04	+2.391366943471087e-04	0.045123044978115	0.000010000000000
1104	+1.121571924900000e-01	-7.269518036100000e-04	+7.686974328200000e-04	+1.121621973547290e-01	-7.256456694124605e-04	+7.686473490911447e-04	0.045657844388065	0.469516902685635
1101	+1.121648608800000e-01	-7.542959720900000e-04	+1.298712148100000e-03	+1.121666882490278e-01	-7.540920204650505e-04	+1.298976603419077e-03	0.054602219186276	0.939666534197578
3570	+1.118283566400000e-01	-1.026785557700000e-03	+7.770982715800000e-04	+1.117968911432200e-01	-1.091747656130173e-03	+7.765104664998008e-04	0.221815724787322	0.477580652377014
48239	+1.118283566400000e-01	-1.026785557700000e-03	+2.460878705300000e-04	+1.117971541791965e-01	-1.088085947182763e-03	+2.453829594517206e-04	0.223023529563696	0.007234563828920
3575	+1.118596503100000e-01	-1.035633702400000e-03	+1.306686317200000e-03	+1.118412849201477e-01	-1.111762856515383e-03	+1.306266475773744e-03	0.203793854031634	0.947152884048624
47008	+1.121478358800000e-01	-6.993560121600000e-04	+2.386788539200000e-04	+1.121546370309996e-01	-6.966698085484425e-04	+2.389992390531635e-04	0.035556205640526	0.000010000000000
1108	+1.121478358800000e-01	-6.993560121600000e-04	+7.688529961600000e-04	+1.121535859017954e-01	-6.973632894542109e-04	+7.688087297551079e-04	0.036305072135419	0.469778197382745
1105	+1.121571924900000e-01	-7.269518036100000e-04	+1.298854391600000e-03	+1.121609391349872e-01	-7.261673637798113e-04	+1.299129992074217e-03	0.046239714438208	0.939885102315915
3566	+1.117966530300000e-01	-1.016155158800000e-03	+7.783963418400000e-04	+1.117585974458195e-01	-1.068930881102507e-03	+7.778912195215517e-04	0.239548375042410	0.478469354372117
48237	+1.117966530300000e-01	-1.016155158800000e-03	+2.472423658600000e-04	+1.117606657329695e-01	-1.066033029330640e-03	+2.465917691170916e-04	0.240159075808510	0.008113226465533
3571	+1.118283566400000e-01	-1.026785557700000e-03	+1.308108672600000e-03	+1.117958227422825e-01	-1.095407061281988e-03	+1.307671157397781e-03	0.220974350315158	0.947977935397517
47010	+1.121369276600000e-01	-6.715335739700000e-04	+2.388396804900000e-04	+1.121428587161897e-01	-6.684723145752551e-04	+2.388246130070195e-04	0.025002071271614	0.000010000000000
1112	+1.121369276600000e-01	-6.715335739700000e-04	+7.690337935300000e-04	+1.121420367331102e-01	-6.691190021471734e-04	+7.689644398164556e-04	0.025918042941799	0.470066718653831
1109	+1.121478358800000e-01	-6.993560121600000e-04	+1.299027138400000e-03	+1.121525139954015e-01	-6.979084906959558e-04	+1.299297233483189e-03	0.037040784076469	0.940148815219079
3562	+1.117645380400000e-01	-1.003895768500000e-03	+7.797117630900000e-04	+1.117290762976654e-01	-1.044820627886198e-03	+7.792266349610376e-04	0.249150785359762	0.479324772468194
48235	+1.117645380400000e-01	-1.003895768500000e-03	+2.484122930500000e-04	+1.117312604732204e-01	-1.041995312481145e-03	+2.478414723142020e-04	0.249203406435021	0.009007608649067
3567	+1.117966530300000e-01	-1.016155158800000e-03	+1.309550317800000e-03	+1.117564899359403e-01	-1.072170980654490e-03	+1.309181464972392e-03	0.238976794935041	0.948839939008428
47012	+1.121245612400000e-01	-6.434855986400000e-04	+2.390215952800000e-04	+1.121280700770597e-01	-6.410454060131449e-04	+2.386405408754767e-04	0.013269013963558	0.000030391670219
1116	+1.121245612400000e-01	-6.434855986400000e-04	+7.692382977800000e-04	+1.121275627735167e-01	-6.417063776191839e-04	+7.691841912068561e-04	0.014426661262187	0.470437930700813
1113	+1.121369276600000e-01	-6.715335739700000e-04	+1.299227906600000e-03	+1.121412729240003e-01	-6.697688437627995e-04	+1.299503821513143e-03	0.026886034357526	0.940477313475313
3558	+1.117319961800000e-01	-9.901196077300000e-04	+7.811632447400001e-04	+1.117036093084633e-01	-1.022845695424632e-03	+7.808271095563318e-04	0.250417194939674	0.480435730431963
48233	+1.117319961800000e-01	-9.901196077300000e-04	+2.497162985200000e-04	+1.117056861356992e-01	-1.020060382692251e-03	+2.492107696516533e-04	0.250470288525405	0.010016881817025
3563	+1.117645380400000e-01	-1.003895768500000e-03	+1.311011233100000e-03	+1.117266841222312e-01	-1.047796250242156e-03	+1.310712528072356e-03	0.249109764132263	0.949753783394926
47014	+1.121108268200000e-01	-6.152020722100000e-04	+2.392232871900000e-04	+1.121104022902425e-01	-6.151114996360961e-04	+2.388616424064896e-04	0.000226099774562	0.000430585630551
1120	+1.121108268200000e-01	-6.152020722100000e-04	+7.694650349800000e-04	+1.121101842101049e-01	-6.156211195649373e-04	+7.694187301243479e-04	0.001620232818904	0.470840387775241
