"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
213	+1.000018449e+00	-4.367110022e-02	+3.203188676e-02	0.426868337	0.500000000
214	+1.000018531e+00	-4.394388926e-02	+3.216797220e-02	0.428871944	0.500000000
215	+1.000018613e+00	-4.421856910e-02	+3.230441340e-02	0.430875551	0.500000000
216	+1.000018695e+00	-4.449540639e-02	+3.244102304e-02	0.432879158	0.500000000
217	+1.000018777e+00	-4.477466778e-02	+3.257761380e-02	0.434882766	0.500000000
218	+1.000018859e+00	-4.505661993e-02	+3.271399835e-02	0.436886373	0.500000000
219	+1.000018941e+00	-4.534152948e-02	+3.284998937e-02	0.438889980	0.500000000
220	+1.000019022e+00	-4.562966310e-02	+3.298539954e-02	0.440893587	0.500000000
221	+1.000019103e+00	-4.592128744e-02	+3.312004154e-02	0.442897194	0.500000000
222	+1.000019183e+00	-4.621666914e-02	+3.325372803e-02	0.444900802	0.500000000
223	+1.000019263e+00	-4.651607487e-02	+3.338627171e-02	0.446904409	0.500000000
224	+1.000019342e+00	-4.681977113e-02	+3.351748526e-02	0.448908016	0.500000000
225	+1.000019419e+00	-4.712799454e-02	+3.364718575e-02	0.450911623	0.500000000
226	+1.000019496e+00	-4.744020752e-02	+3.377530326e-02	0.452915230	0.500000000
227	+1.000019572e+00	-4.775499480e-02	+3.390189597e-02	0.454918838	0.500000000
228	+1.000019648e+00	-4.807089333e-02	+3.402702906e-02	0.456922445	0.500000000
229	+1.000019722e+00	-4.838644007e-02	+3.415076770e-02	0.458926052	0.500000000
230	+1.000019795e+00	-4.870017199e-02	+3.427317705e-02	0.460929659	0.500000000
231	+1.000019868e+00	-4.901062605e-02	+3.439432229e-02	0.462933267	0.500000000
232	+1.000019940e+00	-4.931633921e-02	+3.451426857e-02	0.464936874	0.500000000
233	+1.000020012e+00	-4.961584842e-02	+3.463308107e-02	0.466940481	0.500000000
234	+1.000020082e+00	-4.990769066e-02	+3.475082495e-02	0.468944088	0.500000000
235	+1.000020152e+00	-5.019040288e-02	+3.486756539e-02	0.470947695	0.500000000
236	+1.000020222e+00	-5.046252204e-02	+3.498336756e-02	0.472951303	0.500000000
237	+1.000020291e+00	-5.072258511e-02	+3.509829661e-02	0.474954910	0.500000000
238	+1.000020359e+00	-5.096912904e-02	+3.521241771e-02	0.476958517	0.500000000
239	+1.000020428e+00	-5.120069079e-02	+3.532579605e-02	0.478962124	0.500000000
240	+1.000020495e+00	-5.141580734e-02	+3.543849678e-02	0.480965731	0.500000000
241	+1.000020563e+00	-5.161301563e-02	+3.555058507e-02	0.482969339	0.500000000
242	+1.000020630e+00	-5.179085263e-02	+3.566212609e-02	0.484972946	0.500000000
243	+1.000020696e+00	-5.194785530e-02	+3.577318501e-02	0.486976553	0.500000000
244	+1.000020763e+00	-5.208256061e-02	+3.588382699e-02	0.488980160	0.500000000
245	+1.000020829e+00	-5.219350551e-02	+3.599411721e-02	0.490983768	0.500000000
246	+1.000020895e+00	-5.227922696e-02	+3.610412083e-02	0.492987375	0.500000000
247	+1.000020961e+00	-5.233826193e-02	+3.621390302e-02	0.494990982	0.500000000
248	+1.000021027e+00	-5.236914738e-02	+3.632352895e-02	0.496994589	0.500000000
249	+1.000021093e+00	-5.237042031e-02	+3.643306359e-02	0.498998196	0.500000000
250	+1.000021157e+00	-5.234112564e-02	+3.654070060e-02	0.501001804	0.500000000
251	+1.000021213e+00	-5.228450287e-02	+3.663323897e-02	0.503005411	0.500000000
252	+1.000021258e+00	-5.220235820e-02	+3.670891149e-02	0.505009018	0.500000000
253	+1.000021294e+00	-5.209588094e-02	+3.676864215e-02	0.507012625	0.500000000
254	+1.000021321e+00	-5.196626036e-02	+3.681335518e-02	0.509016232	0.500000000
255	+1.000021339e+00	-5.181468570e-02	+3.684397483e-02	0.511019840	0.500000000
256	+1.000021350e+00	-5.164234623e-02	+3.686142532e-02	0.513023447	0.500000000
257	+1.000021353e+00	-5.145043120e-02	+3.686663090e-02	0.515027054	0.500000000
258	+1.000021349e+00	-5.124012985e-02	+3.686051581e-02	0.517030661	0.500000000
259	+1.000021339e+00	-5.101263145e-02	+3.684400428e-02	0.519034269	0.500000000
260	+1.000021324e+00	-5.076912526e-02	+3.681802056e-02	0.521037876	0.500000000
261	+1.000021303e+00	-5.051080052e-02	+3.678348889e-02	0.523041483	0.500000000
262	+1.000021278e+00	-5.023884650e-02	+3.674133350e-02	0.525045090	0.500000000
263	+1.000021248e+00	-4.995445244e-02	+3.669247863e-02	0.527048697	0.500000000
264	+1.000021215e+00	-4.965880760e-02	+3.663784852e-02	0.529052305	0.500000000
265	+1.000021180e+00	-4.935310125e-02	+3.657836741e-02	0.531055912	0.500000000
266	+1.000021142e+00	-4.903852262e-02	+3.651495954e-02	0.533059519	0.500000000
