"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
172	+9.892461191e-01	+0.000000000e+00	+7.021319624e-03	0.344720441
173	+9.892326651e-01	+0.000000000e+00	+7.168886097e-03	0.346724048
174	+9.892192112e-01	+0.000000000e+00	+7.316452569e-03	0.348727655
175	+9.892057572e-01	+0.000000000e+00	+7.464019042e-03	0.350731263
176	+9.891923032e-01	+0.000000000e+00	+7.611585514e-03	0.352734870
177	+9.891788492e-01	+0.000000000e+00	+7.759151987e-03	0.354738477
178	+9.891653952e-01	+0.000000000e+00	+7.906718459e-03	0.356742084
179	+9.891519412e-01	+0.000000000e+00	+8.054284932e-03	0.358745691
180	+9.891384872e-01	+0.000000000e+00	+8.201851404e-03	0.360749299
181	+9.891250332e-01	+0.000000000e+00	+8.349417877e-03	0.362752906
182	+9.891115792e-01	+0.000000000e+00	+8.496984349e-03	0.364756513
183	+9.890981252e-01	+0.000000000e+00	+8.644550822e-03	0.366760120
184	+9.890846712e-01	+0.000000000e+00	+8.792117294e-03	0.368763727
185	+9.890712172e-01	+0.000000000e+00	+8.939683767e-03	0.370767335
186	+9.890577632e-01	+0.000000000e+00	+9.087250239e-03	0.372770942
187	+9.890443092e-01	+0.000000000e+00	+9.234816712e-03	0.374774549
188	+9.890308552e-01	+0.000000000e+00	+9.382383184e-03	0.376778156
189	+9.890174013e-01	+0.000000000e+00	+9.529949657e-03	0.378781764
190	+9.890039473e-01	+0.000000000e+00	+9.677516129e-03	0.380785371
191	+9.889904933e-01	+0.000000000e+00	+9.825082602e-03	0.382788978
192	+9.889770393e-01	+0.000000000e+00	+9.972649074e-03	0.384792585
193	+9.889635853e-01	+0.000000000e+00	+1.012021555e-02	0.386796192
194	+9.889501313e-01	+0.000000000e+00	+1.026778202e-02	0.388799800
195	+9.889366773e-01	+0.000000000e+00	+1.041534849e-02	0.390803407
196	+9.889232233e-01	+0.000000000e+00	+1.056291496e-02	0.392807014
197	+9.889097693e-01	+0.000000000e+00	+1.071048144e-02	0.394810621
198	+9.888963153e-01	+0.000000000e+00	+1.085804791e-02	0.396814228
199	+9.888828613e-01	+0.000000000e+00	+1.100561438e-02	0.398817836
200	+9.888694073e-01	+0.000000000e+00	+1.115318085e-02	0.400821443
201	+9.888559533e-01	+0.000000000e+00	+1.130074733e-02	0.402825050
202	+9.888424993e-01	+0.000000000e+00	+1.144831380e-02	0.404828657
203	+9.888290453e-01	+0.000000000e+00	+1.159588027e-02	0.406832265
204	+9.888155914e-01	+0.000000000e+00	+1.174344674e-02	0.408835872
205	+9.888021374e-01	+0.000000000e+00	+1.189101322e-02	0.410839479
206	+9.887886834e-01	+0.000000000e+00	+1.203857969e-02	0.412843086
207	+9.887752294e-01	+0.000000000e+00	+1.218614616e-02	0.414846693
208	+9.887617754e-01	+0.000000000e+00	+1.233371263e-02	0.416850301
209	+9.887483214e-01	+0.000000000e+00	+1.248127911e-02	0.418853908
210	+9.887348674e-01	+0.000000000e+00	+1.262884558e-02	0.420857515
211	+9.887214134e-01	+0.000000000e+00	+1.277641205e-02	0.422861122
212	+9.887079594e-01	+0.000000000e+00	+1.292397852e-02	0.424864729
213	+9.886945054e-01	+0.000000000e+00	+1.307154500e-02	0.426868337
214	+9.886810514e-01	+0.000000000e+00	+1.321911147e-02	0.428871944
215	+9.886675974e-01	+0.000000000e+00	+1.336667794e-02	0.430875551
216	+9.886541434e-01	+0.000000000e+00	+1.351424441e-02	0.432879158
217	+9.886406894e-01	+0.000000000e+00	+1.366181089e-02	0.434882766
218	+9.886272354e-01	+0.000000000e+00	+1.380937736e-02	0.436886373
219	+9.886137815e-01	+0.000000000e+00	+1.395694383e-02	0.438889980
220	+9.886003275e-01	+0.000000000e+00	+1.410451030e-02	0.440893587
221	+9.885868735e-01	+0.000000000e+00	+1.425207678e-02	0.442897194
222	+9.885734195e-01	+0.000000000e+00	+1.439964325e-02	0.444900802
223	+9.885599655e-01	+0.000000000e+00	+1.454720972e-02	0.446904409
224	+9.885465115e-01	+0.000000000e+00	+1.469477619e-02	0.448908016
225	+9.885330575e-01	+0.000000000e+00	+1.484234267e-02	0.450911623
226	+9.885196035e-01	+0.000000000e+00	+1.498990914e-02	0.452915230
227	+9.885061495e-01	+0.000000000e+00	+1.513747561e-02	0.454918838
228	+9.884926955e-01	+0.000000000e+00	+1.528504208e-02	0.456922445
229	+9.884792415e-01	+0.000000000e+00	+1.543260856e-02	0.458926052
230	+9.884657875e-01	+0.000000000e+00	+1.558017503e-02	0.460929659
231	+9.884523335e-01	+0.000000000e+00	+1.572774150e-02	0.462933267
232	+9.884388795e-01	+0.000000000e+00	+1.587530797e-02	0.464936874
233	+9.884254255e-01	+0.000000000e+00	+1.602287445e-02	0.466940481
234	+9.884119716e-01	+0.000000000e+00	+1.617044092e-02	0.468944088
235	+9.883985176e-01	+0.000000000e+00	+1.631800739e-02	0.470947695
236	+9.883850636e-01	+0.000000000e+00	+1.646557386e-02	0.472951303
237	+9.883716096e-01	+0.000000000e+00	+1.661314034e-02	0.474954910
238	+9.883581556e-01	+0.000000000e+00	+1.676070681e-02	0.476958517
239	+9.883447016e-01	+0.000000000e+00	+1.690827328e-02	0.478962124
240	+9.883312476e-01	+0.000000000e+00	+1.705583975e-02	0.480965731
241	+9.883177936e-01	+0.000000000e+00	+1.720340623e-02	0.482969339
242	+9.883043396e-01	+0.000000000e+00	+1.735097270e-02	0.484972946
243	+9.882908856e-01	+0.000000000e+00	+1.749853917e-02	0.486976553
244	+9.882774316e-01	+0.000000000e+00	+1.764610564e-02	0.488980160
245	+9.882639776e-01	+0.000000000e+00	+1.779367212e-02	0.490983768
246	+9.882505236e-01	+0.000000000e+00	+1.794123859e-02	0.492987375
247	+9.882370696e-01	+0.000000000e+00	+1.808880506e-02	0.494990982
248	+9.882236156e-01	+0.000000000e+00	+1.823637153e-02	0.496994589
249	+9.882101617e-01	+0.000000000e+00	+1.838393801e-02	0.498998196
250	+9.881967077e-01	+0.000000000e+00	+1.853150448e-02	0.501001804
251	+9.881832537e-01	+0.000000000e+00	+1.867907095e-02	0.503005411
252	+9.881697997e-01	+0.000000000e+00	+1.882663742e-02	0.505009018
253	+9.881563457e-01	+0.000000000e+00	+1.897420390e-02	0.507012625
254	+9.881428917e-01	+0.000000000e+00	+1.912177037e-02	0.509016232
255	+9.881294377e-01	+0.000000000e+00	+1.926933684e-02	0.511019840
256	+9.881159837e-01	+0.000000000e+00	+1.941690331e-02	0.513023447
257	+9.881025297e-01	+0.000000000e+00	+1.956446979e-02	0.515027054
258	+9.880890757e-01	+0.000000000e+00	+1.971203626e-02	0.517030661
259	+9.880756217e-01	+0.000000000e+00	+1.985960273e-02	0.519034269
260	+9.880621677e-01	+0.000000000e+00	+2.000716920e-02	0.521037876
261	+9.880487137e-01	+0.000000000e+00	+2.015473568e-02	0.523041483
262	+9.880352597e-01	+0.000000000e+00	+2.030230215e-02	0.525045090
263	+9.880218057e-01	+0.000000000e+00	+2.044986862e-02	0.527048697
264	+9.880083518e-01	+0.000000000e+00	+2.059743509e-02	0.529052305
265	+9.879948978e-01	+0.000000000e+00	+2.074500157e-02	0.531055912
266	+9.879814438e-01	+0.000000000e+00	+2.089256804e-02	0.533059519
267	+9.879679898e-01	+0.000000000e+00	+2.104013451e-02	0.535063126
268	+9.879545358e-01	+0.000000000e+00	+2.118770098e-02	0.537066733
269	+9.879410818e-01	+0.000000000e+00	+2.133526746e-02	0.539070341
270	+9.879276278e-01	+0.000000000e+00	+2.148283393e-02	0.541073948
271	+9.879141738e-01	+0.000000000e+00	+2.163040040e-02	0.543077555
272	+9.879007198e-01	+0.000000000e+00	+2.177796687e-02	0.545081162
273	+9.878872658e-01	+0.000000000e+00	+2.192553335e-02	0.547084770
274	+9.878738118e-01	+0.000000000e+00	+2.207309982e-02	0.549088377
275	+9.878603578e-01	+0.000000000e+00	+2.222066629e-02	0.551091984
276	+9.878469038e-01	+0.000000000e+00	+2.236823276e-02	0.553095591
277	+9.878334498e-01	+0.000000000e+00	+2.251579924e-02	0.555099198
278	+9.878199958e-01	+0.000000000e+00	+2.266336571e-02	0.557102806
279	+9.878065419e-01	+0.000000000e+00	+2.281093218e-02	0.559106413
280	+9.877930879e-01	+0.000000000e+00	+2.295849865e-02	0.561110020
281	+9.877796339e-01	+0.000000000e+00	+2.310606513e-02	0.563113627
282	+9.877661799e-01	+0.000000000e+00	+2.325363160e-02	0.565117234
283	+9.877527259e-01	+0.000000000e+00	+2.340119807e-02	0.567120842
284	+9.877392719e-01	+0.000000000e+00	+2.354876454e-02	0.569124449
285	+9.877258179e-01	+0.000000000e+00	+2.369633102e-02	0.571128056
286	+9.877123639e-01	+0.000000000e+00	+2.384389749e-02	0.573131663
287	+9.876989099e-01	+0.000000000e+00	+2.399146396e-02	0.575135271
288	+9.876854559e-01	+0.000000000e+00	+2.413903043e-02	0.577138878
289	+9.876720019e-01	+0.000000000e+00	+2.428659691e-02	0.579142485
290	+9.876585479e-01	+0.000000000e+00	+2.443416338e-02	0.581146092
291	+9.876450939e-01	+0.000000000e+00	+2.458172985e-02	0.583149699
292	+9.876316399e-01	+0.000000000e+00	+2.472929632e-02	0.585153307
293	+9.876181859e-01	+0.000000000e+00	+2.487686280e-02	0.587156914
294	+9.876047320e-01	+0.000000000e+00	+2.502442927e-02	0.589160521
295	+9.875912780e-01	+0.000000000e+00	+2.517199574e-02	0.591164128
296	+9.875778240e-01	+0.000000000e+00	+2.531956221e-02	0.593167735
297	+9.875643700e-01	+0.000000000e+00	+2.546712869e-02	0.595171343
298	+9.875509160e-01	+0.000000000e+00	+2.561469516e-02	0.597174950
299	+9.875374620e-01	+0.000000000e+00	+2.576226163e-02	0.599178557
300	+9.875240080e-01	+0.000000000e+00	+2.590982810e-02	0.601182164
301	+9.875105540e-01	+0.000000000e+00	+2.605739458e-02	0.603185772
302	+9.874971000e-01	+0.000000000e+00	+2.620496105e-02	0.605189379
303	+9.874836460e-01	+0.000000000e+00	+2.635252752e-02	0.607192986
304	+9.874701920e-01	+0.000000000e+00	+2.650009399e-02	0.609196593
305	+9.874567380e-01	+0.000000000e+00	+2.664766047e-02	0.611200200
306	+9.874432840e-01	+0.000000000e+00	+2.679522694e-02	0.613203808
307	+9.874298300e-01	+0.000000000e+00	+2.694279341e-02	0.615207415
308	+9.874163760e-01	+0.000000000e+00	+2.709035988e-02	0.617211022
309	+9.874029221e-01	+0.000000000e+00	+2.723792636e-02	0.619214629
310	+9.873894681e-01	+0.000000000e+00	+2.738549283e-02	0.621218236
311	+9.873760141e-01	+0.000000000e+00	+2.753305930e-02	0.623221844
312	+9.873625601e-01	+0.000000000e+00	+2.768062577e-02	0.625225451
313	+9.873491061e-01	+0.000000000e+00	+2.782819225e-02	0.627229058
314	+9.873356521e-01	+0.000000000e+00	+2.797575872e-02	0.629232665
315	+9.873221981e-01	+0.000000000e+00	+2.812332519e-02	0.631236273
316	+9.873087441e-01	+0.000000000e+00	+2.827089166e-02	0.633239880
317	+9.872952901e-01	+0.000000000e+00	+2.841845814e-02	0.635243487
318	+9.872818361e-01	+0.000000000e+00	+2.856602461e-02	0.637247094
319	+9.872683821e-01	+0.000000000e+00	+2.871359108e-02	0.639250701
320	+9.872549281e-01	+0.000000000e+00	+2.886115755e-02	0.641254309
321	+9.872414741e-01	+0.000000000e+00	+2.900872403e-02	0.643257916
322	+9.872280201e-01	+0.000000000e+00	+2.915629050e-02	0.645261523
323	+9.872145661e-01	+0.000000000e+00	+2.930385697e-02	0.647265130
324	+9.872011122e-01	+0.000000000e+00	+2.945142344e-02	0.649268737
325	+9.871876582e-01	+0.000000000e+00	+2.959898992e-02	0.651272345
326	+9.871742042e-01	+0.000000000e+00	+2.974655639e-02	0.653275952
327	+9.871607502e-01	+0.000000000e+00	+2.989412286e-02	0.655279559
328	+9.871472962e-01	+0.000000000e+00	+3.004168933e-02	0.657283166
329	+9.871338422e-01	+0.000000000e+00	+3.018925581e-02	0.659286774
330	+9.871203882e-01	+0.000000000e+00	+3.033682228e-02	0.661290381
331	+9.871069342e-01	+0.000000000e+00	+3.048438875e-02	0.663293988
332	+9.870934802e-01	+0.000000000e+00	+3.063195522e-02	0.665297595
333	+9.870800262e-01	+0.000000000e+00	+3.077952170e-02	0.667301202
334	+9.870665722e-01	+0.000000000e+00	+3.092708817e-02	0.669304810
335	+9.870531182e-01	+0.000000000e+00	+3.107465464e-02	0.671308417
336	+9.870396642e-01	+0.000000000e+00	+3.122222111e-02	0.673312024
337	+9.870262102e-01	+0.000000000e+00	+3.136978759e-02	0.675315631
338	+9.870127562e-01	+0.000000000e+00	+3.151735406e-02	0.677319238
339	+9.869993023e-01	+0.000000000e+00	+3.166492053e-02	0.679322846
340	+9.869858483e-01	+0.000000000e+00	+3.181248700e-02	0.681326453
341	+9.869723943e-01	+0.000000000e+00	+3.196005348e-02	0.683330060
342	+9.869589403e-01	+0.000000000e+00	+3.210761995e-02	0.685333667
343	+9.869454863e-01	+0.000000000e+00	+3.225518642e-02	0.687337275
344	+9.869320323e-01	+0.000000000e+00	+3.240275289e-02	0.689340882
345	+9.869185783e-01	+0.000000000e+00	+3.255031937e-02	0.691344489
346	+9.869051243e-01	+0.000000000e+00	+3.269788584e-02	0.693348096
347	+9.868916703e-01	+0.000000000e+00	+3.284545231e-02	0.695351703
348	+9.868782163e-01	+0.000000000e+00	+3.299301878e-02	0.697355311
349	+9.868647623e-01	+0.000000000e+00	+3.314058526e-02	0.699358918
350	+9.868513083e-01	+0.000000000e+00	+3.328815173e-02	0.701362525
351	+9.868378543e-01	+0.000000000e+00	+3.343571820e-02	0.703366132
352	+9.868244003e-01	+0.000000000e+00	+3.358328467e-02	0.705369739
353	+9.868109463e-01	+0.000000000e+00	+3.373085115e-02	0.707373347
354	+9.867974924e-01	+0.000000000e+00	+3.387841762e-02	0.709376954
355	+9.867840384e-01	+0.000000000e+00	+3.402598409e-02	0.711380561
356	+9.867705844e-01	+0.000000000e+00	+3.417355056e-02	0.713384168
