"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
145	+1.000373854e+00	+0.000000000e+00	+2.432196527e-02	0.290623046
146	+1.000410526e+00	+0.000000000e+00	+2.552021098e-02	0.292626653
147	+1.000448798e+00	+0.000000000e+00	+2.671804622e-02	0.294630261
148	+1.000488654e+00	+0.000000000e+00	+2.791545170e-02	0.296633868
149	+1.000530078e+00	+0.000000000e+00	+2.911240808e-02	0.298637475
150	+1.000573055e+00	+0.000000000e+00	+3.030889606e-02	0.300641082
151	+1.000617570e+00	+0.000000000e+00	+3.150489632e-02	0.302644689
152	+1.000663607e+00	+0.000000000e+00	+3.270038954e-02	0.304648297
153	+1.000711150e+00	+0.000000000e+00	+3.389535642e-02	0.306651904
154	+1.000760185e+00	+0.000000000e+00	+3.508977762e-02	0.308655511
155	+1.000810695e+00	+0.000000000e+00	+3.628363384e-02	0.310659118
156	+1.000862666e+00	+0.000000000e+00	+3.747690576e-02	0.312662725
157	+1.000916081e+00	+0.000000000e+00	+3.866957407e-02	0.314666333
158	+1.000970926e+00	+0.000000000e+00	+3.986161945e-02	0.316669940
159	+1.001027184e+00	+0.000000000e+00	+4.105302258e-02	0.318673547
160	+1.001084841e+00	+0.000000000e+00	+4.224376415e-02	0.320677154
161	+1.001143882e+00	+0.000000000e+00	+4.343382484e-02	0.322680762
162	+1.001204289e+00	+0.000000000e+00	+4.462318534e-02	0.324684369
163	+1.001266049e+00	+0.000000000e+00	+4.581182633e-02	0.326687976
164	+1.001329145e+00	+0.000000000e+00	+4.699972850e-02	0.328691583
165	+1.001393563e+00	+0.000000000e+00	+4.818687253e-02	0.330695190
166	+1.001459286e+00	+0.000000000e+00	+4.937323910e-02	0.332698798
167	+1.001526300e+00	+0.000000000e+00	+5.055880890e-02	0.334702405
168	+1.001594588e+00	+0.000000000e+00	+5.174356262e-02	0.336706012
169	+1.001664136e+00	+0.000000000e+00	+5.292748093e-02	0.338709619
170	+1.001734928e+00	+0.000000000e+00	+5.411054452e-02	0.340713226
171	+1.001806948e+00	+0.000000000e+00	+5.529273408e-02	0.342716834
172	+1.001880181e+00	+0.000000000e+00	+5.647403030e-02	0.344720441
173	+1.001954612e+00	+0.000000000e+00	+5.765441384e-02	0.346724048
174	+1.002030225e+00	+0.000000000e+00	+5.883386541e-02	0.348727655
175	+1.002107005e+00	+0.000000000e+00	+6.001236568e-02	0.350731263
176	+1.002184935e+00	+0.000000000e+00	+6.118989533e-02	0.352734870
177	+1.002264002e+00	+0.000000000e+00	+6.236643506e-02	0.354738477
178	+1.002344189e+00	+0.000000000e+00	+6.354196555e-02	0.356742084
179	+1.002425481e+00	+0.000000000e+00	+6.471646747e-02	0.358745691
180	+1.002507862e+00	+0.000000000e+00	+6.588992153e-02	0.360749299
181	+1.002591317e+00	+0.000000000e+00	+6.706230839e-02	0.362752906
182	+1.002675830e+00	+0.000000000e+00	+6.823360875e-02	0.364756513
