"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
210	+9.997181545e-01	-1.966602838e-01	+2.251635556e-01	0.420857515	0.000100000
211	+9.994627750e-01	-1.981463314e-01	+2.256433911e-01	0.422861122	0.000100000
212	+9.991996879e-01	-1.996530133e-01	+2.261119289e-01	0.424864729	0.000100000
213	+9.989285787e-01	-2.011813927e-01	+2.265688692e-01	0.426868337	0.000100000
214	+9.986491264e-01	-2.027325306e-01	+2.270139161e-01	0.428871944	0.000100000
215	+9.983610032e-01	-2.043074861e-01	+2.274467772e-01	0.430875551	0.000100000
216	+9.980638740e-01	-2.059073163e-01	+2.278671629e-01	0.432879158	0.000100000
217	+9.977573963e-01	-2.075330759e-01	+2.282747864e-01	0.434882766	0.000100000
218	+9.974412196e-01	-2.091858174e-01	+2.286693632e-01	0.436886373	0.000100000
219	+9.971149851e-01	-2.108665911e-01	+2.290506112e-01	0.438889980	0.000100000
220	+9.967783250e-01	-2.125764445e-01	+2.294182496e-01	0.440893587	0.000100000
221	+9.964308625e-01	-2.143164226e-01	+2.297719991e-01	0.442897194	0.000100000
222	+9.960722189e-01	-2.160875353e-01	+2.301115941e-01	0.444900802	0.000100000
223	+9.957026867e-01	-2.178880268e-01	+2.304378712e-01	0.446904409	0.000100000
224	+9.953239869e-01	-2.197104094e-01	+2.307539379e-01	0.448908016	0.000100000
225	+9.949380621e-01	-2.215464850e-01	+2.310631554e-01	0.450911623	0.000100000
226	+9.945469026e-01	-2.233880685e-01	+2.313688513e-01	0.452915230	0.000100000
227	+9.941525474e-01	-2.252269881e-01	+2.316743207e-01	0.454918838	0.000100000
228	+9.937570846e-01	-2.270550855e-01	+2.319828260e-01	0.456922445	0.000100000
229	+9.933626501e-01	-2.288642162e-01	+2.322975967e-01	0.458926052	0.000100000
230	+9.929714261e-01	-2.306462495e-01	+2.326218272e-01	0.460929659	0.000100000
231	+9.925856377e-01	-2.323930682e-01	+2.329586747e-01	0.462933267	0.000100000
232	+9.922075495e-01	-2.340965682e-01	+2.333112557e-01	0.464936874	0.000100000
233	+9.918394600e-01	-2.357486583e-01	+2.336826416e-01	0.466940481	0.000100000
234	+9.914836962e-01	-2.373412591e-01	+2.340758532e-01	0.468944088	0.000100000
235	+9.911426063e-01	-2.388663022e-01	+2.344938549e-01	0.470947695	0.000100000
236	+9.908185515e-01	-2.403157290e-01	+2.349395473e-01	0.472951303	0.000100000
237	+9.905138969e-01	-2.416814894e-01	+2.354157588e-01	0.474954910	0.000100000
238	+9.902310011e-01	-2.429555402e-01	+2.359252363e-01	0.476958517	0.000100000
239	+9.899722048e-01	-2.441298432e-01	+2.364706354e-01	0.478962124	0.000100000
240	+9.897398181e-01	-2.451963635e-01	+2.370545082e-01	0.480965731	0.000100000
241	+9.895361069e-01	-2.461470669e-01	+2.376792911e-01	0.482969339	0.000100000
242	+9.893632775e-01	-2.469739178e-01	+2.383472908e-01	0.484972946	0.000100000
243	+9.892234603e-01	-2.476688764e-01	+2.390606696e-01	0.486976553	0.000100000
244	+9.891186927e-01	-2.482238961e-01	+2.398214282e-01	0.488980160	0.000100000
