"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
209	+1.255301346e+00	+0.000000000e+00	+1.109992222e-01	0.418853908
210	+1.255409224e+00	+0.000000000e+00	+1.119225470e-01	0.420857515
211	+1.255517712e+00	+0.000000000e+00	+1.128467632e-01	0.422861122
212	+1.255626795e+00	+0.000000000e+00	+1.137718360e-01	0.424864729
213	+1.255736458e+00	+0.000000000e+00	+1.146977307e-01	0.426868337
214	+1.255846684e+00	+0.000000000e+00	+1.156244125e-01	0.428871944
215	+1.255957460e+00	+0.000000000e+00	+1.165518467e-01	0.430875551
216	+1.256068768e+00	+0.000000000e+00	+1.174799984e-01	0.432879158
217	+1.256180594e+00	+0.000000000e+00	+1.184088329e-01	0.434882766
218	+1.256292922e+00	+0.000000000e+00	+1.193383155e-01	0.436886373
219	+1.256405737e+00	+0.000000000e+00	+1.202684114e-01	0.438889980
220	+1.256519023e+00	+0.000000000e+00	+1.211990858e-01	0.440893587
221	+1.256632765e+00	+0.000000000e+00	+1.221303039e-01	0.442897194
222	+1.256746947e+00	+0.000000000e+00	+1.230620309e-01	0.444900802
223	+1.256861555e+00	+0.000000000e+00	+1.239942322e-01	0.446904409
224	+1.256976572e+00	+0.000000000e+00	+1.249268729e-01	0.448908016
225	+1.257091983e+00	+0.000000000e+00	+1.258599183e-01	0.450911623
226	+1.257207772e+00	+0.000000000e+00	+1.267933335e-01	0.452915230
227	+1.257323925e+00	+0.000000000e+00	+1.277270839e-01	0.454918838
228	+1.257440425e+00	+0.000000000e+00	+1.286611347e-01	0.456922445
229	+1.257557258e+00	+0.000000000e+00	+1.295954510e-01	0.458926052
230	+1.257674407e+00	+0.000000000e+00	+1.305299981e-01	0.460929659
231	+1.257791858e+00	+0.000000000e+00	+1.314647414e-01	0.462933267
232	+1.257909594e+00	+0.000000000e+00	+1.323996458e-01	0.464936874
233	+1.258027601e+00	+0.000000000e+00	+1.333346769e-01	0.466940481
234	+1.258145863e+00	+0.000000000e+00	+1.342697996e-01	0.468944088
235	+1.258264365e+00	+0.000000000e+00	+1.352049794e-01	0.470947695
236	+1.258383090e+00	+0.000000000e+00	+1.361401813e-01	0.472951303
237	+1.258502024e+00	+0.000000000e+00	+1.370753707e-01	0.474954910
238	+1.258621151e+00	+0.000000000e+00	+1.380105128e-01	0.476958517
239	+1.258740456e+00	+0.000000000e+00	+1.389455728e-01	0.478962124
240	+1.258859924e+00	+0.000000000e+00	+1.398805159e-01	0.480965731
241	+1.258979538e+00	+0.000000000e+00	+1.408153074e-01	0.482969339
242	+1.259099283e+00	+0.000000000e+00	+1.417499125e-01	0.484972946
243	+1.259219144e+00	+0.000000000e+00	+1.426842965e-01	0.486976553
244	+1.259339106e+00	+0.000000000e+00	+1.436184245e-01	0.488980160
245	+1.259459153e+00	+0.000000000e+00	+1.445522618e-01	0.490983768
246	+1.259579269e+00	+0.000000000e+00	+1.454857736e-01	0.492987375
247	+1.259699439e+00	+0.000000000e+00	+1.464189252e-01	0.494990982
